;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
8-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Hotelkosten ;279,10
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;300,00
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;300,00
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Hotelkosten ;322,10
8-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;422,29
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;473,87
1-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;980,00
1-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Catering;996,08
24-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;1.019,43
11-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;1.380,00
22-2-16;Personele uitgaven;Externe Inhuur;uitzendkrachten;Secretarieel/facilitair medewerker;1.535,26
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;1.594,18
8-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Catering;1.748,00
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;1.978,35
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Coaching;2.136,81
11-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;3.066,98
22-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;3.183,49
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;3.188,35
8-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;3.188,35
3-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Coaching;3.993,00
22-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Coaching;4.219,88
17-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;14.642,45
4-2-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Training vaardigheden;16.486,25
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Tanzania;-967,80
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Tunesie;-585,25
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Qatar;-585,25
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Qatar;-585,25
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Hongarije;-436,60
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Duitsland;-412,03
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Duitsland;-241,60
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Spanje;-214,85
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Spanje;-214,85
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Spanje;-194,85
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Tanzania;-140,00
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Duitsland;-139,00
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Duitsland;-139,00
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Duitsland;-61,31
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Duitsland;-51,62
1-2-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;19,62
1-2-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Verenigd Koninkrijk;61,31
1-2-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;156,15
1-2-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;463,91
29-2-16;Personele uitgaven;Eigen Personeel;Reis- en verblijfkosten;Binnenlandse dienstreizen februari;4.291,14
1-2-16;Personele uitgaven;Eigen personeel;vervoer- en verblijfkosten;Buitenlandse dienstreis Duitsland;-996,08
8-2-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Huur externe accommodatie;12,41
8-2-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Huur externe accommodatie;63,45
4-2-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Bezoek museum;75,00
8-2-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Bijeenkomst;146,75
4-2-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Lunch  ;213,45
4-2-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Huur externe accommodatie;941,50
1-2-16;Ontvangsten;Ontvangsten;Internationale projecten;Buitenlandse dienstreis Duitsland;-463,91
3-2-16;Ontvangsten;Ontvangsten;Internationale projecten;creditnota buitenlandse dienstreis Tunesie;-165,00
3-2-16;Ontvangsten;Ontvangsten;Internationale projecten;creditnota buitenlandse dienstreis Tunesie;-165,00
3-2-16;Ontvangsten;Ontvangsten;Internationale projecten;creditnota buitenlandse dienstreis Tunesie;-165,00
